id,source,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,name_length,name_sentiment,description_length,description_sentiment,neighborhood_overview_length,neighborhood_overview_sentiment,host_name_first_letter,predicted_gender,host_about_length,host_about_sentiment,same_neighbourhood,bathrooms_number,bathrooms_type,amenities_count
16538401,0.0,83891777.0,2334.0,3.0,100.0,89.0,2.0,1.0,1.0,1.0,0.0,52.35564,4.86494,37.0,2.0,2.0,1.0,1.0,166.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,1.0,6.0,6.0,6.0,6.0,40.0,24.0,1.0,2059.0,29.0,4.9,5.0,4.98,5.0,4.88,4.9,4.75,0.0,1.0,0.0,1.0,0.0,0.58,47.0,0.0,951.0,3.7416666666666667,0.0,0.0,1.0,0.0,172.0,2.4,0.0,1.0,1.0,41.0
16539738,0.0,2674028.0,3822.0,4.0,100.0,100.0,1.0,4.0,4.0,1.0,1.0,52.39363,4.91097,9.0,0.0,12.0,2.0,13.0,459.0,2.0,350.0,1.0,2.0,1125.0,1125.0,1.3,1125.0,1.0,11.0,29.0,47.0,253.0,202.0,47.0,1.0,2052.0,22.0,4.59,4.61,4.36,4.74,4.72,4.45,4.36,1.0,3.0,3.0,0.0,0.0,2.95,41.0,0.0,1000.0,0.75,1000.0,5.3,20.0,1.0,654.0,0.0,0.0,1.0,1.0,65.0
16553990,0.0,108990987.0,2167.0,4.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,52.35182,4.89662,19.0,2.0,2.0,1.0,1.0,119.0,1.0,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,1.0,9.0,24.0,49.0,143.0,118.0,6.0,1.0,2155.0,7.0,4.61,4.73,4.7,4.48,4.68,4.83,4.51,1.0,1.0,0.0,1.0,0.0,1.64,47.0,0.30000000000000004,1000.0,8.874999999999998,1000.0,6.016666666666666,9.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0
16582068,0.0,662664.0,4202.0,2.0,100.0,60.0,2.0,1.0,1.0,1.0,1.0,52.37903,4.88377,29.0,2.0,2.0,1.0,1.0,175.0,2.0,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,1.0,12.0,33.0,60.0,60.0,113.0,20.0,4.0,2059.0,1.0,4.91,4.96,4.9,4.97,4.95,4.96,4.7,0.0,1.0,0.0,1.0,0.0,1.65,49.0,0.5,1000.0,5.311363636363637,688.0,3.3166666666666673,10.0,0.0,0.0,0.0,0.0,1.0,1.0,23.0
16583033,0.0,4978942.0,3590.0,4.0,100.0,100.0,2.0,2.0,2.0,1.0,1.0,52.36873,4.85616,29.0,2.0,2.0,1.0,1.0,68.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,1.0,12.0,42.0,71.0,189.0,290.0,65.0,5.0,1918.0,15.0,4.73,4.82,4.6,4.94,4.9,4.74,4.68,1.0,2.0,0.0,2.0,0.0,4.53,10.0,0.0,1000.0,2.225,207.0,0.6000000000000001,2.0,2.0,1.0,0.0,0.0,1.5,2.0,25.0
16591325,0.0,20593864.0,3022.0,4.0,100.0,90.0,1.0,2.0,2.0,1.0,1.0,52.38594,4.90731,27.0,2.0,2.0,1.0,1.0,139.0,3.0,28.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,1.0,12.0,42.0,72.0,80.0,210.0,7.0,3.0,2030.0,4.0,4.94,4.99,5.0,4.96,4.87,4.94,4.8,0.0,1.0,0.0,1.0,0.0,3.1,49.0,0.6,1000.0,5.372727272727272,315.0,2.0730769230769233,2.0,1.0,0.0,0.0,0.0,1.0,1.0,24.0
16610138,0.0,2705184.0,3819.0,4.0,100.0,98.0,1.0,1.0,1.0,1.0,1.0,52.35448,4.88959,7.0,0.0,2.0,1.0,1.0,120.0,3.0,1125.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,1.0,2.0,20.0,44.0,44.0,248.0,57.0,5.0,1973.0,11.0,4.82,4.88,4.87,4.94,4.84,4.96,4.67,0.0,1.0,1.0,0.0,0.0,3.77,47.0,1.3333333333333333,1000.0,6.431904761904763,225.0,0.775,10.0,2.0,131.0,0.5,0.0,1.0,1.0,54.0
16614928,0.0,41130076.0,2673.0,4.0,100.0,100.0,2.0,2.0,2.0,1.0,1.0,52.35199,4.90477,27.0,2.0,2.0,1.0,1.0,145.0,2.0,30.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,1.0,17.0,45.0,68.0,267.0,312.0,66.0,6.0,2136.0,1.0,4.97,4.96,4.97,4.98,4.95,4.87,4.8,1.0,2.0,0.0,2.0,0.0,4.38,30.0,0.4,671.0,1.4410714285714288,182.0,1.8125,13.0,2.0,92.0,0.1,0.0,1.0,1.0,41.0
16615187,0.0,283269.0,4408.0,3.0,100.0,66.0,1.0,3.0,4.0,1.0,1.0,52.40627,4.93407,37.0,2.0,2.0,1.0,1.0,95.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,17.0,47.0,77.0,339.0,12.0,5.0,2.0,1331.0,18.0,5.0,5.0,5.0,5.0,5.0,4.75,4.67,0.0,2.0,1.0,1.0,0.0,0.27,42.0,-0.1,1000.0,9.18939393939394,434.0,1.45,13.0,0.0,947.0,0.8333333333333334,0.0,1.0,2.0,38.0
16625355,0.0,29268751.0,2824.0,4.0,100.0,76.0,1.0,3.0,3.0,1.0,1.0,52.40872,4.90547,9.0,0.0,4.0,4.0,5.0,119.0,2.0,21.0,1.0,2.0,1125.0,1125.0,2.0,1125.0,1.0,1.0,3.0,7.0,8.0,73.0,13.0,0.0,2115.0,43.0,4.89,4.92,4.74,4.89,4.96,4.67,4.76,0.0,2.0,1.0,1.0,0.0,1.03,46.0,0.0,1000.0,3.9000000000000004,1000.0,5.6,1.0,0.0,79.0,0.0,0.0,1.0,1.0,53.0
